Communication Protocols,Success Count
"((1, 1, 0, 0, 1, 1, 1), (1, 1, 1, 1, 0, 0, 1))",100
"((1, 1, 0, 0, 1, 1, 1), (1, 1, 1, 1, 1, 0, 1))",113
"((1, 1, 0, 0, 1, 0, 1), (1, 0, 1, 0, 1, 0, 1))",30
"((1, 1, 0, 0, 1, 0, 1), (1, 1, 1, 1, 0, 0, 1))",78
"((1, 1, 0, 0, 0, 1, 1), (1, 0, 1, 0, 0, 0, 1))",6
"((1, 1, 0, 0, 1, 0, 1), (1, 1, 1, 1, 1, 0, 1))",90
"((1, 1, 0, 0, 0, 0, 1), (1, 1, 1, 1, 0, 0, 1))",23
"((1, 1, 0, 0, 1, 1, 1), (1, 1, 1, 0, 1, 0, 1))",90
"((1, 1, 0, 0, 1, 0, 1), (1, 0, 1, 0, 0, 0, 1))",21
"((1, 1, 0, 0, 1, 0, 1), (1, 1, 1, 0, 1, 0, 1))",73
"((1, 1, 0, 0, 0, 0, 1), (1, 1, 1, 1, 1, 0, 1))",24
"((1, 1, 0, 0, 0, 1, 1), (1, 1, 1, 1, 1, 0, 1))",17
"((1, 1, 0, 0, 0, 0, 1), (1, 1, 1, 0, 0, 0, 1))",11
"((1, 1, 0, 0, 0, 1, 1), (1, 1, 1, 0, 1, 0, 1))",20
"((1, 1, 0, 0, 1, 1, 1), (1, 0, 1, 0, 1, 0, 1))",31
"((1, 1, 0, 0, 0, 0, 1), (1, 1, 1, 0, 1, 0, 1))",16
"((1, 1, 0, 0, 1, 0, 1), (1, 1, 1, 0, 0, 0, 1))",75
"((1, 1, 0, 0, 1, 1, 1), (1, 1, 1, 0, 0, 0, 1))",63
"((1, 1, 1, 0, 1, 1, 1), (1, 1, 1, 1, 0, 0, 1))",1
"((1, 1, 0, 0, 0, 0, 1), (1, 0, 1, 1, 0, 0, 1))",2
"((1, 1, 1, 0, 1, 1, 1), (1, 1, 1, 0, 1, 0, 1))",3
"((1, 1, 0, 0, 0, 1, 1), (1, 1, 1, 0, 0, 0, 1))",17
"((1, 1, 0, 0, 0, 1, 1), (1, 0, 1, 0, 1, 0, 1))",3
"((1, 1, 0, 0, 0, 1, 1), (1, 0, 1, 1, 1, 0, 1))",2
"((1, 1, 0, 0, 1, 1, 1), (1, 0, 1, 1, 1, 0, 1))",11
"((1, 1, 0, 0, 1, 1, 1), (1, 0, 1, 0, 0, 0, 1))",20
"((1, 1, 1, 0, 1, 1, 1), (1, 1, 1, 1, 1, 0, 1))",3
"((1, 1, 0, 0, 0, 0, 1), (1, 0, 1, 1, 1, 0, 1))",3
"((1, 1, 0, 0, 0, 1, 1), (1, 1, 1, 1, 0, 0, 1))",18
"((1, 1, 0, 0, 1, 0, 1), (1, 0, 1, 1, 1, 0, 1))",4
"((1, 1, 0, 0, 0, 0, 1), (1, 0, 1, 0, 1, 0, 1))",5
"((1, 1, 1, 0, 1, 0, 1), (1, 0, 1, 1, 1, 0, 1))",1
"((1, 1, 1, 0, 1, 1, 1), (1, 0, 1, 0, 1, 0, 1))",1
"((1, 1, 0, 0, 0, 0, 1), (1, 0, 1, 0, 0, 0, 1))",3
"((1, 1, 1, 0, 0, 0, 1), (1, 1, 1, 1, 0, 0, 1))",1
"((1, 1, 0, 0, 0, 1, 1), (1, 0, 1, 1, 0, 0, 1))",1
"((1, 1, 0, 0, 1, 0, 1), (1, 0, 1, 1, 0, 0, 1))",2
"((1, 1, 1, 0, 1, 0, 1), (1, 0, 1, 0, 1, 0, 1))",1
"((1, 1, 0, 0, 1, 1, 1), (1, 0, 1, 1, 0, 0, 1))",4
"((1, 1, 1, 0, 0, 1, 1), (1, 1, 1, 1, 0, 0, 1))",1
"((1, 1, 1, 0, 1, 0, 1), (1, 1, 1, 0, 0, 0, 1))",2
"((1, 1, 1, 0, 1, 0, 1), (1, 1, 1, 1, 0, 0, 1))",1
"((1, 1, 1, 0, 0, 0, 1), (1, 1, 1, 0, 1, 0, 1))",1
"((1, 1, 1, 0, 1, 0, 1), (1, 1, 1, 1, 1, 0, 1))",2
"((1, 1, 1, 0, 1, 1, 1), (1, 1, 1, 0, 0, 0, 1))",1
"((1, 1, 1, 0, 1, 1, 1), (1, 0, 1, 0, 0, 0, 1))",1
